№;дієслово;вид;перехідність;дієвідміна
707;оксидувати;N;P;1
708;окувати;D;P;1
709;окути;D;P;1
710;окулірувати;D;P;1
710;окулірувати;N;P;1
711;окульбачити;D;P;2
712;окультивувати;D;P;1
713;окультурити;D;P;2
714;окультурювати;N;P;1
715;окупити;D;P;1
716;окупати;N;P;2
717;окупувати;N;P;1
718;окурити;D;P;1
719;окурювати;N;P;1
720;окутати;D;P;1
721;окутувати;N;P;1
722;олітературити;D;P;2
723;олітературювати;N;P;1
724;олов'яніти;N;E;1
725;олюднити;D;P;2
726;олюднювати;N;P;1
727;оманювати;N;P;1
728;омеблювати;D;P;1
729;омебльовувати;N;P;1
730;омерзити;D;P;2
731;омертвити;D;P;1
732;омертвіти;D;E;1
733;омертвляти;N;P;1
734;омивати;N;P;1
735;оминути;D;P;1
736;оминати;N;P;1
737;омирати;N;E;1
738;оміщанитися;D;E;2
739;омліти;D;E;1
740;омлівати;N;E;1
741;омолодити;D;P;1
742;омолоджувати;N;P;1
743;омолодіти;D;E;1
744;оморочити;D;P;2
745;оморочувати;N;P;1
746;омочити;D;P;1
747;омочувати;N;P;1
748;омріювати;N;P;1
749;онавісніти;D;P;1
750;онанірувати;N;E;1
751;онемощіти;D;E;1
752;онімечити;D;P;1
753;онімечувати;N;P;1
754;оніміти;D;E;1
755;оновити;D;P;2
756;оновлювати;N;P;1
757;оновляти;N;P;1
758;оперти;D;P;1
759;опадати;N;E;1
760;опалити;D;P;1
761;опалесцирувати;D;P;1
762;опалубити;D;P;1
763;опалювати;N;P;1
764;опаляти;N;P;1
765;опам'ятатися;D;E;1
766;опам'ятовуватися;N;E;1
767;опановувати;N;P;1
768;опанувати;D;P;1
769;опанювати;D;P;1
770;опарити;D;P;1
771;опарканити;D;P;1
772;опарювати;N;P;1
773;опасати;N;P;1
774;опаскудити;D;P;2
775;опаскуджувати;N;P;1
776;опатрати;D;P;1
777;опатрювати;N;P;1
778;опахати;D;P;1
779;опахнути;D;P;1
780;опахувати;N;P;1
781;опащекувати;D;P;1
782;опеньгати;D;P;1
783;оперити;D;P;1
784;опереджати;N;P;1
785;оперезати;D;P;1
786;оперізувати;N;P;1
787;оперіщити;D;P;2
788;оперіщувати;N;P;1
789;опернатіти;D;E;1
790;оперувати;N;P;1
791;оперювати;N;P;1
792;оперяти;N;P;1
793;опечалити;D;P;1
794;опечалювати;N;P;1
795;опечатати;D;P;1
796;опечатувати;N;P;1
797;описати;D;P;1
798;опилити;D;P;1
799;опилювати;N;P;1
800;опинитися;D;E;1
801;опинатися;N;E;1
802;опинятися;N;E;1
803;опирати;N;P;1
804;опирати;N;P;1
805;описувати;N;P;1
806;опитувати;N;P;1
807;опізнитися;D;E;2
